,Year,Streptococcus_pneumonia,Streptococcus_non_pneumonia_non_meningitis,Streptococcus_meningitis
0,2000,975072,66522,158462
1,2001,944468,64990,153326
2,2002,911272,62354,147394
3,2003,877622,63060,141642
4,2004,853342,62522,136912
5,2005,816716,59606,130812
6,2006,796692,60112,127084
7,2007,772092,58424,122272
8,2008,751688,58076,118566
9,2009,726916,57706,113914
10,2010,714704,56120,111688
11,2011,676940,59952,104896
12,2012,635926,55664,97350
13,2013,585848,53326,88570
14,2014,530020,47622,79268
15,2015,475286,42968,70424
